file,path,language,model,prompt_type,severity,type,rule,message,cwe,tags,software_quality,status,effort
p56_fc_c.c,c/claude/p56_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""email"" is ""char *"".",none,"bad-practice,misra-c++2008,misra-c2004,misra-c2012",MAINTAINABILITY,OPEN,2min
p56_fc_c.c,c/claude/p56_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S1659,Define each identifier in a dedicated statement.,none,"based-on-misra,cert,convention",MAINTAINABILITY,OPEN,5min
p56_nc_c.c,c/claude/p56_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S1659,Define each identifier in a dedicated statement.,none,"based-on-misra,cert,convention",MAINTAINABILITY,OPEN,5min
p56_nr_c.c,c/claude/p56_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S1659,Define each identifier in a dedicated statement.,none,"based-on-misra,cert,convention",MAINTAINABILITY,OPEN,5min
p56_nre_c.c,c/claude/p56_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""email"" is ""char *"".",none,"bad-practice,misra-c++2008,misra-c2004,misra-c2012",MAINTAINABILITY,OPEN,2min
p56_nre_c.c,c/claude/p56_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S1659,Define each identifier in a dedicated statement.,none,"based-on-misra,cert,convention",MAINTAINABILITY,OPEN,5min
p58_fc_c.c,c/claude/p58_fc_c.c,c,claude,FC,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p58_fc_c.c,c/claude/p58_fc_c.c,c,claude,FC,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p58_fc_c.c,c/claude/p58_fc_c.c,c,claude,FC,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p58_fc_c.c,c/claude/p58_fc_c.c,c,claude,FC,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p58_nc_c.c,c/claude/p58_nc_c.c,c,claude,NC,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p58_nc_c.c,c/claude/p58_nc_c.c,c,claude,NC,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p58_nre_c.c,c/claude/p58_nre_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p58_nre_c.c,c/claude/p58_nre_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p58_nre_c.c,c/claude/p58_nre_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p70_fc_c.c,c/claude/p70_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S5955,"Declare the variable ""i"" inside the loop.",none,"clumsy,cppcoreguidelines",MAINTAINABILITY,OPEN,5min
p70_fc_c.c,c/claude/p70_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p70_fc_c.c,c/claude/p70_fc_c.c,c,claude,FC,MAJOR,CODE_SMELL,c:S1066,"Merge this ""if"" statement with the enclosing one.",none,clumsy,MAINTAINABILITY,OPEN,5min
p70_nc_c.c,c/claude/p70_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p70_nc_c.c,c/claude/p70_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S1659,Define each identifier in a dedicated statement.,none,"based-on-misra,cert,convention",MAINTAINABILITY,OPEN,5min
p70_nc_c.c,c/claude/p70_nc_c.c,c,claude,NC,MAJOR,CODE_SMELL,c:S1066,"Merge this ""if"" statement with the enclosing one.",none,clumsy,MAINTAINABILITY,OPEN,5min
p70_nc_c.c,c/claude/p70_nc_c.c,c,claude,NC,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p70_nc_c.c,c/claude/p70_nc_c.c,c,claude,NC,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p70_nc_c.c,c/claude/p70_nc_c.c,c,claude,NC,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p70_nr_c.c,c/claude/p70_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S5955,"Declare the variable ""i"" inside the loop.",none,"clumsy,cppcoreguidelines",MAINTAINABILITY,OPEN,5min
p70_nr_c.c,c/claude/p70_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p70_nre_c.c,c/claude/p70_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p70_nre_c.c,c/claude/p70_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S1659,Define each identifier in a dedicated statement.,none,"based-on-misra,cert,convention",MAINTAINABILITY,OPEN,5min
p70_nre_c.c,c/claude/p70_nre_c.c,c,claude,NR,MAJOR,CODE_SMELL,c:S1066,"Merge this ""if"" statement with the enclosing one.",none,clumsy,MAINTAINABILITY,OPEN,5min
p70_nre_c.c,c/claude/p70_nre_c.c,c,claude,NR,MAJOR,CODE_SMELL,c:S125,Remove the commented out code.,none,"based-on-misra,unused",MAINTAINABILITY,OPEN,5min
p71_fc_c.c,c/claude/p71_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S1659,Define each identifier in a dedicated statement.,none,"based-on-misra,cert,convention",MAINTAINABILITY,OPEN,5min
p71_fc_c.c,c/claude/p71_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p71_nc_c.c,c/claude/p71_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S1659,Define each identifier in a dedicated statement.,none,"based-on-misra,cert,convention",MAINTAINABILITY,OPEN,5min
p71_nc_c.c,c/claude/p71_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p71_nc_c.c,c/claude/p71_nc_c.c,c,claude,NC,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p71_nc_c.c,c/claude/p71_nc_c.c,c,claude,NC,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p71_nr_c.c,c/claude/p71_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S1659,Define each identifier in a dedicated statement.,none,"based-on-misra,cert,convention",MAINTAINABILITY,OPEN,5min
p71_nr_c.c,c/claude/p71_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p71_nr_c.c,c/claude/p71_nr_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p71_nr_c.c,c/claude/p71_nr_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p71_nr_c.c,c/claude/p71_nr_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p71_nre_c.c,c/claude/p71_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S1659,Define each identifier in a dedicated statement.,none,"based-on-misra,cert,convention",MAINTAINABILITY,OPEN,5min
p71_nre_c.c,c/claude/p71_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p71_nre_c.c,c/claude/p71_nre_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p71_nre_c.c,c/claude/p71_nre_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p71_nre_c.c,c/claude/p71_nre_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p72_fc_c.c,c/claude/p72_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S1659,Define each identifier in a dedicated statement.,none,"based-on-misra,cert,convention",MAINTAINABILITY,OPEN,5min
p72_fc_c.c,c/claude/p72_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p72_nc_c.c,c/claude/p72_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S1659,Define each identifier in a dedicated statement.,none,"based-on-misra,cert,convention",MAINTAINABILITY,OPEN,5min
p72_nc_c.c,c/claude/p72_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p72_nc_c.c,c/claude/p72_nc_c.c,c,claude,NC,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p72_nc_c.c,c/claude/p72_nc_c.c,c,claude,NC,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p72_nc_c.c,c/claude/p72_nc_c.c,c,claude,NC,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p72_nr_c.c,c/claude/p72_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S1659,Define each identifier in a dedicated statement.,none,"based-on-misra,cert,convention",MAINTAINABILITY,OPEN,5min
p72_nr_c.c,c/claude/p72_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p72_nr_c.c,c/claude/p72_nr_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p72_nr_c.c,c/claude/p72_nr_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p72_nr_c.c,c/claude/p72_nr_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p72_nre_c.c,c/claude/p72_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S1659,Define each identifier in a dedicated statement.,none,"based-on-misra,cert,convention",MAINTAINABILITY,OPEN,5min
p72_nre_c.c,c/claude/p72_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p72_nre_c.c,c/claude/p72_nre_c.c,c,claude,NR,MAJOR,CODE_SMELL,c:S125,Remove the commented out code.,none,"based-on-misra,unused",MAINTAINABILITY,OPEN,5min
p72_nre_c.c,c/claude/p72_nre_c.c,c,claude,NR,MAJOR,CODE_SMELL,c:S125,Remove the commented out code.,none,"based-on-misra,unused",MAINTAINABILITY,OPEN,5min
p72_nre_c.c,c/claude/p72_nre_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p72_nre_c.c,c/claude/p72_nre_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
